ApplicationAtomXml               | application/atom+xml;charset=UTF-8    | Atom
ApplicationEdiX12                | application/EDI-X12                   | EDI X12 (RFC 1767)
ApplicationEdifact               | application/EDIFACT                   | EDI EDIFACT (RFC 1767)
ApplicationJson                  | application/json;charset=UTF-8        | JavaScript Object Notation JSON (RFC 4627)
ApplicationJavascript            | application/javascript;charset=UTF-8  | JavaScript (RFC 4329)
ApplicationOctetStream           | application/octet-stream              | двоичный файл без указания формата (RFC 2046)[4]
ApplicationOgg                   | application/ogg                       | Ogg (RFC 5334)
ApplicationPdf                   | application/pdf                       | Portable Document Format, PDF (RFC 3778)
ApplicationPostscript            | application/postscript                | PostScript (RFC 2046)
ApplicationSoapXml               | application/soap+xml                  | SOAP (RFC 3902)
ApplicationFontWoff              | application/font-woff                 | web open font format
ApplicationXhtmlXml              | application/xhtml+xml;charset=UTF-8   | XHTML (RFC 3236)
ApplicationXmlDtd                | application/xml-dtd;charset=UTF-8     | DTD (RFC 3023)
ApplicationXopXml                | application/xop+xml                   | XOP
ApplicationZip                   | application/zip                       | ZIP
ApplicationGzip                  | application/gzip                      | Gzip
ApplicationXBittorrent           | application/x-bittorrent              | BitTorrent
ApplicationXTex                  | application/x-tex                     | TeX
ApplicationXml                   | application/xml;charset=UTF-8         | XML
ApplicationMsWord                | application/msword                    | DOC microsoft word файлы
ApplicationMsExcel               | application/vnd.ms-excel              | XLS microsoft excel файлы
ApplicationXYaml                 | application/x-yaml;charset=UTF-8      | YAML
ApplicationVndMozillaXulXml      | application/vnd.mozilla.xul+xml       | mozilla XUL файлы
ApplicationVndGoogleEarthKmlXml  | application/vnd.google-earth.kml+xml  | KML файлы (например, для Google Earth)
ApplicationXWwwFormUrlencoded    | application/x-www-form-urlencoded     | form encoded data
ApplicationXDvi                  | application/x-dvi                     | DVI
ApplicationXLatex                | application/x-latex                   | LaTeX файлы
ApplicationXFontTtf              | application/x-font-ttf                | TrueType (не зарегистрированный MIME-тип, но наиболее часто используемый)
ApplicationXStuffit              | application/x-stuffit                 | StuffIt
ApplicationXRarCompressed        | application/x-rar-compressed          | RAR
ApplicationXTar                  | application/x-tar                     | Tarball
ApplicationXZipCompressed        | application/x-zip-compressed          | ZIP
ApplicationXPkcs12               | application/x-pkcs12                  | p12, pfx файлы
ApplicationXPkcs7Certificates    | application/x-pkcs7-certificates      | p7b, spc файлы
ApplicationXPkcs7Certreqresp     | application/x-pkcs7-certreqresp       | p7r файлы
ApplicationXPkcs7Mime            | application/x-pkcs7-mime              | p7c, p7m файлы
ApplicationXPkcs7Signature       | application/x-pkcs7-signature         | p7s файлы
ApplicationProtobuf              | application/protobuf                  | gRPC protobuf
ApplicationMsgpack               | application/msgpack                   | Msgpack
ApplicationXGenesisRom           | application/x-genesis-rom             | Файл gen
ApplicationWasm                  | application/wasm                      | WebAssembly (сокращённо wasm) — язык программирования низкого уровня, призванный внести программируемость туда, где нужны кроссплатформенность, эффективность и безопасность, в первую очередь на клиентскую сторону ВЕБ.
AudioBasic                       | audio/basic                           | mulaw аудио, 8 кГц, 1 канал (RFC 2046)
AudioL24                         | audio/L24                             | 24bit Linear PCM аудио, 8-48 кГц, 1-N каналов (RFC 3190)
AudioMp4                         | audio/mp4                             | MP4
AudioAac                         | audio/aac                             | AAC
AudioMpeg                        | audio/mpeg                            | MP3 или др. MPEG (RFC 3003)
AudioOgg                         | audio/ogg                             | Ogg Vorbis, Speex, Flac или др. аудио (RFC 5334)
AudioVorbis                      | audio/vorbis                          | Vorbis (RFC 5215)
AudioXMsWma                      | audio/x-ms-wma                        | windows media audio
AudioXMsWax                      | audio/x-ms-wax                        | windows media audio перенаправление
